Trace,Pipeline,FPR,FNR,Ramp TTD,Spurious %,Probing Mean,Probing Std
ec2_cpu,NAIVE,0.0,0.0,124.0,0.0,1.0,0.0
ec2_cpu,SMA,0.0,0.0,86.0,0.0,1.0,0.0
ec2_cpu,KALMAN,0.0,0.0,114.0,0.0,1.0,0.0
ec2_cpu,DP,0.0,0.0,97.15,0.0,0.8260000000000002,0.10827742146911333
rds_cpu,NAIVE,0.0,0.0,17.0,36.85932388222465,1.0,0.0
rds_cpu,SMA,0.2857142857142857,0.0,11.0,40.458015267175576,1.0,0.0
rds_cpu,KALMAN,0.0,0.0,11.0,37.18647764449291,1.0,0.0
rds_cpu,DP,0.0,0.0,17.12,37.80588876772084,0.9190000000000002,0.08330066026148891
elb_req,NAIVE,0.0,0.0,105.0,0.03635041802980734,1.0,0.0
elb_req,SMA,0.0,0.0,95.0,0.3635041802980734,1.0,0.0
elb_req,KALMAN,0.0,0.0,94.0,0.03635041802980734,1.0,0.0
elb_req,DP,0.0,0.0,101.49,0.0003635041802980734,0.543,0.1505024916737261
